caseid,person_id,arrest_date,dispos_date,treat,re_arrest,prior_arrests,address,race,gender,bdate,city,age,gr9_gpa,gr10_gpa,reconstructed_prior_arrests,reconstructed_re_arrest
57514,1,2012-01-04,2012-03-27,0,0,2,"1698 W 25TH PL, CHICAGO",WHITE,F,1985-07-03,chicago,26.0,,,2,0
39970,1,2012-07-11,2012-10-20,1,0,3,"4866 S CORNELL AVE, CHICAGO",WHITE,F,1985-07-03,chicago,27.0,,,3,0
88413,1,2013-04-04,2013-06-22,0,0,4,"2543 N WILLETTS CT, CHICAGO",WHITE,F,1985-07-03,chicago,27.0,,,4,0
40216,5,2012-03-31,2013-03-25,0,0,2,"4578 W MORSE AVE, CHICAGO",BLACK,M,1986-09-27,chicago,25.0,,,2,0
92255,6,2012-12-09,2013-11-09,0,0,3,"5111 S SANGAMON ST, CHICAGO",BLACK,M,1991-06-07,chicago,21.0,,,3,0
26516,7,2012-02-25,2012-03-26,0,0,0,"7162 W PALATINE AVE, Chicago",BLACK,F,1994-08-24,chicago,17.0,,,0,0
2913,8,2012-10-06,2013-12-29,1,1,4,"15 W QUINCY CT, CHICAGO",BLACK,M,1978-04-04,chicago,34.0,,,4,1
6304,8,2013-04-06,2013-07-07,0,0,5,"5742 N NICOLET AVE, CHICAGO",BLACK,M,1978-04-04,chicago,35.0,,,5,0
82277,9,2012-01-12,2012-11-08,0,0,1,"2942 E 78TH PL, CHICAGO",ASIAN,F,1994-07-11,chicago,17.0,,,1,0
31881,9,2013-09-25,2013-12-29,1,0,2,"528 S JENSEN BLVD, CHICAGO",ASIAN,F,1994-07-11,chicago,19.0,,,2,0
11354,10,2013-07-03,2014-12-13,1,0,3,"455 E 23RD DR, CHICAGO",WHITE,M,1984-12-30,chicago,28.0,,,3,0
49941,11,2013-03-17,2013-05-11,1,0,3,"1713 W STEUBEN ST, CHICAGO",BLACK,M,1987-09-13,chicago,25.0,,,3,0
59616,12,2013-06-25,2013-08-23,0,0,1,"7501 S OGLESBY AVE, CHICAGO",ASIAN,F,1984-12-22,chicago,28.0,,,1,0
88153,13,2012-10-29,2013-01-21,1,1,8,"6374 S KNOX AVE, CHICAGO",BLACK,M,1963-04-27,chicago,49.0,,,8,1
40377,13,2012-11-04,2013-03-05,1,0,9,"5097 W POTOMAC AVE, CHICAGO",BLACK,M,1963-04-27,chicago,49.0,,,9,0
39447,13,2013-07-31,2013-08-16,1,0,10,"5902 W CORCORAN PL, Chicago",BLACK,M,1963-04-27,chicago,50.0,,,10,0
56468,14,2013-04-05,2013-10-09,1,0,2,"3309 N MAJOR AVE, CHICAGO",BLACK,M,1988-10-02,chicago,24.0,3.4,2.286,2,0
19842,15,2012-03-31,2013-09-08,1,1,5,"6457 S PROMONTORY DR, CHICAGO",BLACK,M,1971-09-27,chicago,40.0,,,5,1
96126,15,2012-06-13,2012-08-15,0,0,6,"3048 S MOE DR, CHICAGO",BLACK,M,1971-09-27,chicago,40.0,,,6,0
95551,16,2012-05-23,2012-08-02,1,0,4,"3385 S DAN RYAN 35TH ST ER, CHICAGO",WHITE,M,1975-11-19,chicago,36.0,,,4,0
97880,17,2012-05-22,2012-06-15,1,0,3,"2076 W 26TH ST, CHICAGO",BLACK,M,1982-11-18,chicago,29.0,,,3,0
37756,18,2012-01-10,2013-06-03,1,1,8,"4081 W WINONA ST, CHICAGO",BLACK,M,1974-07-09,chicago,37.0,,,8,1
26780,18,2012-04-05,2013-01-26,1,1,9,"1697 S FARRAR DR, CHICAGO",BLACK,M,1974-07-09,chicago,37.0,,,9,1
57949,18,2012-04-18,2012-05-27,0,0,10,"1191 E 69TH ST, Chicago",BLACK,M,1974-07-09,chicago,37.0,,,10,0
62439,19,2013-07-08,2013-09-16,1,0,1,"437 S DAN RYAN IB EISENHOWER OB ER, CHICAGO",WHITE,M,1987-01-04,chicago,26.0,,,1,0
39548,19,2013-09-20,2014-08-29,0,0,2,"486 W EISENHOWER FRANKLIN ST ER, CHICAGO",WHITE,M,1987-01-04,chicago,26.0,,,2,0
92285,21,2013-04-20,2013-11-17,0,0,0,"7459 S STONY ISLAND AVE, CHICAGO",WHITE,M,1985-10-17,chicago,27.0,,,0,0
